date,mkt_index,rf_index
19470714,3.439996639,1.219730042
19470715,3.434527044,1.219742239
19470716,3.430439957,1.219754436
19470717,3.407490314,1.219766634
19470718,3.414680118,1.219778832
19470721,3.409250777,1.219791029
19470722,3.412353195,1.219803227
19470723,3.435932556,1.219815425
19470724,3.472044207,1.219827623
19470725,3.469301292,1.219839822
19470728,3.442969295,1.21985202
19470729,3.373111448,1.219864219
19470730,3.351219955,1.219876417
19470731,3.39548957,1.219888616
19470801,3.4036727,1.219900815
19470804,3.368308541,1.219913014
19470805,3.377099826,1.219925213
19470806,3.364300618,1.219937412
19470807,3.368371422,1.219949612
19470808,3.332363531,1.219961811
19470811,3.315401801,1.219974011
19470812,3.34361587,1.219986211
19470813,3.341308775,1.21999841
19470814,3.348024806,1.22001061
19470815,3.375512089,1.220022811
19470818,3.366769513,1.220035011
19470819,3.356702872,1.220047211
19470820,3.342302617,1.220059412
19470821,3.352028718,1.220071612
19470822,3.359436701,1.220083813
19470825,3.309414689,1.220096014
19470826,3.310440607,1.220108215
19470827,3.316101461,1.220120416
19470828,3.313813351,1.220132617
19470829,3.337043182,1.220144818
19470902,3.353828509,1.220181423
19470903,3.350575296,1.220218028
19470904,3.307118334,1.220254635
19470905,3.300272599,1.220291242
19470908,3.256147955,1.220327851
19470909,3.261455476,1.220364461
19470910,3.290906419,1.220401072
19470911,3.3031815,1.220437684
19470912,3.294031687,1.220474297
19470915,3.280954381,1.220510911
19470916,3.307956636,1.220547526
19470917,3.355359654,1.220584143
19470918,3.345394236,1.22062076
19470919,3.338803809,1.220657379
19470922,3.334563529,1.220693999
19470923,3.292314609,1.22073062
19470924,3.300973396,1.220767242
19470925,3.282586974,1.220803865
19470926,3.27808983,1.220840489
19470929,3.292611768,1.220877114
19470930,3.321027008,1.22091374
19471001,3.33736646,1.220938158
19471002,3.337433208,1.220962577
19471003,3.359860759,1.220986996
19471004,3.365975705,1.221011416
19471006,3.368399208,1.221035836
19471007,3.367792896,1.221060257
19471008,3.349337391,1.221084678
19471009,3.365146264,1.2211091
19471010,3.375982035,1.221133522
19471011,3.380775929,1.221157945
19471014,3.427498252,1.221182368
19471015,3.439905796,1.221206792
19471016,3.442726519,1.221231216
19471017,3.446582372,1.22125564
19471018,3.461816267,1.221280066
19471020,3.486118217,1.221304491
19471021,3.481307374,1.221328917
19471022,3.472325601,1.221353344
19471023,3.476561838,1.221377771
19471024,3.431436065,1.221402198
19471025,3.436308704,1.221426627
19471027,3.437064692,1.221451055
19471028,3.439539379,1.221475484
19471029,3.425506058,1.221499914
19471030,3.383098293,1.221524344
19471031,3.404817784,1.221548774
19471101,3.412410528,1.221585421
19471103,3.407735525,1.221622068
19471105,3.388413665,1.221658717
19471106,3.390209524,1.221695367
19471107,3.383530812,1.221732017
19471108,3.384647377,1.221768669
19471110,3.396595182,1.221805322
19471112,3.38956423,1.221841977
19471113,3.367972706,1.221878632
19471114,3.369420934,1.221915288
19471115,3.374239206,1.221951946
19471117,3.371978466,1.221988604
19471118,3.397706661,1.222025264
19471119,3.408341483,1.222061925
19471120,3.420032095,1.222098586
19471121,3.408506586,1.222135249
19471122,3.405200335,1.222171913
19471124,3.387935969,1.222208579
19471125,3.377873799,1.222245245
19471126,3.372908325,1.222281912
19471128,3.34366521,1.222318581
19471129,3.338750022,1.22235525
19471201,3.35721331,1.222391921
19471202,3.364699895,1.222428593
19471203,3.339902057,1.222465266
19471204,3.320630822,1.22250194
19471205,3.27424161,1.222538615
19471206,3.274994685,1.222575291
19471208,3.300965393,1.222611968
19471209,3.315918766,1.222648646
19471210,3.323644857,1.222685326
19471211,3.328397669,1.222722006
19471212,3.350132106,1.222758688
19471213,3.371673455,1.222795371
19471215,3.390993144,1.222832055
19471216,3.387364782,1.22286874
19471217,3.398644706,1.222905426
19471218,3.39602775,1.222942113
19471219,3.409374139,1.222978801
19471220,3.437774225,1.22301549
19471222,3.430314255,1.223052181
19471223,3.441737202,1.223088872
19471224,3.439431238,1.223125565
19471226,3.413738687,1.223162259
19471227,3.408379117,1.223198954
19471229,3.394507014,1.22323565
19471230,3.424480511,1.223272347
19471231,3.442048096,1.223309045
19480102,3.456263754,1.223345744
19480105,3.425261069,1.223382445
19480106,3.40481226,1.223419146
19480107,3.425343278,1.223455849
19480108,3.445313029,1.223492552
19480109,3.433013262,1.223529257
19480110,3.43517606,1.223565963
19480112,3.414324541,1.22360267
19480113,3.367992157,1.223639378
19480114,3.364051607,1.223676087
19480115,3.354060373,1.223712798
19480116,3.354496401,1.223749509
19480117,3.352919788,1.223786221
19480119,3.309432418,1.223822935
19480120,3.311186417,1.22385965
19480121,3.278836126,1.223896365
19480122,3.253687453,1.223933082
19480123,3.245325476,1.2239698
19480124,3.246396434,1.224006519
19480126,3.241299591,1.22404324
19480127,3.24658291,1.224079961
19480128,3.27265297,1.224116683
19480129,3.304823149,1.224153407
19480130,3.305913741,1.224190131
19480131,3.309318832,1.224226857
19480202,3.309418111,1.224263584
19480203,3.290322769,1.224300312
19480204,3.230537604,1.224337041
19480205,3.19542166,1.224373771
19480206,3.20094974,1.224410502
19480207,3.220891657,1.224447235
19480209,3.220988283,1.224483968
19480210,3.132185637,1.224520702
19480211,3.123822701,1.224557438
19480213,3.122979269,1.224594175
19480214,3.128694321,1.224630913
19480216,3.169148338,1.224667652
19480217,3.176215539,1.224704392
19480218,3.171864124,1.224741133
19480219,3.164981179,1.224777875
19480220,3.151783207,1.224814618
19480221,3.156920614,1.224851363
19480224,3.16143501,1.224888108
19480225,3.18018232,1.224924855
19480226,3.164058796,1.224961603
19480227,3.150231859,1.224998351
19480228,3.166707571,1.225035101
19480301,3.18263611,1.225071852
19480302,3.201190879,1.225108605
19480303,3.20993013,1.225145358
19480304,3.20071763,1.225182112
19480305,3.204654513,1.225218868
19480306,3.218530667,1.225255624
19480308,3.197063068,1.225292382
19480309,3.177656895,1.225329141
19480310,3.191416149,1.225365901
19480311,3.190873608,1.225402662
19480312,3.191288422,1.225439424
19480313,3.205744959,1.225476187
19480315,3.204879407,1.225512951
19480316,3.151774556,1.225549717
19480317,3.173616353,1.225586483
19480318,3.198148408,1.225623251
19480319,3.249734542,1.225660019
19480320,3.32197614,1.225696789
19480322,3.339017878,1.22573356
19480323,3.341121459,1.225770332
19480324,3.341889917,1.225807105
19480325,3.354355167,1.225843879
19480327,3.348082522,1.225880655
19480329,3.344500074,1.225917431
19480330,3.37637316,1.225954209
19480331,3.425769499,1.225990987
19480401,3.433408965,1.226027767
19480402,3.437632058,1.226064548
19480403,3.441860346,1.22610133
19480405,3.450568252,1.226138113
19480406,3.467579554,1.226174897
19480407,3.460401664,1.226211682
19480408,3.470540641,1.226248469
19480409,3.474115298,1.226285256
19480410,3.477346225,1.226322045
19480412,3.470843588,1.226358834
19480413,3.471294797,1.226395625
19480414,3.471746066,1.226432417
19480415,3.500318536,1.22646921
19480416,3.514424819,1.226506004
19480417,3.512070155,1.226542799
19480419,3.530789489,1.226579595
19480420,3.526305386,1.226616393
19480421,3.542279549,1.226653191
19480422,3.571786738,1.226689991
19480423,3.588681289,1.226726792
19480424,3.5848414,1.226763593
19480426,3.544440238,1.226800396
19480427,3.550217675,1.2268372
19480428,3.559199726,1.226874005
19480429,3.560018342,1.226910812
19480430,3.55371711,1.226947619
19480501,3.5452948,1.226984427
19480503,3.570927281,1.227021237
19480504,3.574248244,1.227058047
19480505,3.553982256,1.227094859
